"menu:item:660:title","2012–13 Campaign","2012.-2013. gada kampaņa","lv"
"menu:item:661:title","2014–15 Campaign","2014.-2015. gada kampaņa","lv"
"menu:item:623:title","About EU-OSHA","Par EU-OSHA","lv"
"menu:item:637:title","About EU-OSHA","Par EU-OSHA","lv"
"menu:item:1712:title","Accessibility","Pieejamība","lv"
"menu:item:668:title","Ageing & OSH","Novecošanās un darba aizsardzība","lv"
"menu:item:994:title","Annual reports","Gada pārskati","lv"
"menu:item:3073:title","Award winner 2014","2014.gada balvas ieguvējs ","lv"
"menu:item:3072:title","Become a media partner","Kļūt par plašsaziņas līdzekļu partneri","lv"
"menu:item:1012:title","Benefits of OSH","Darba aizsardzības ieguvumi","lv"
"menu:item:1717:title","Blog","Blogs","lv"
"menu:item:1718:title","Blog","Blogs","lv"
"menu:item:1719:title","Blog","Blogs","lv"
"menu:item:1003:title","Board & Bureau","Valde un birojs","lv"
"menu:item:965:title","CLP","CLP","lv"
"menu:item:989:title","Campaign toolkit","Kampaņas rīkkopa","lv"
"menu:item:629:title","Campaigns & Awards","Kampaņas un balvas","lv"
"menu:item:674:title","Careers","Karjeras","lv"
"menu:item:1028:title","Composition of the advisory groups","Padomdevēju grupu sastāvs","lv"
"menu:item:1004:title","Composition of the board","Valdes sastāvs","lv"
"menu:item:1025:title","Composition of the bureau","Biroja sastāvs","lv"
"menu:item:1705:title","Contact us","Kontaktinformācija","lv"
"menu:item:996:title","Control standards","Kontroles standarti","lv"
"menu:item:672:title","Dangerous substances","Bīstamas vielas","lv"
"menu:item:672:description","Dangerous substances in the workplace — safety and health information and advice from EU-OSHA","Bīstamas vielas darbavietā - informācija par drošību un veselību un EU-OSHA padoms","lv"
"menu:item:998:title","Data protection","Datu aizsardzība","lv"
"menu:item:3076:title","Document register","Dokumentu reģistrs","lv"
"menu:item:649:title","EU directives","ES direktīvas","lv"
"menu:item:650:title","EU guidelines","ES vadlīnijas","lv"
"menu:item:1018:title","EU poll 2009","ES aptauja 2009. gadā","lv"
"menu:item:984:title","EU poll 2012","ES aptauja 2012. gadā","lv"
"menu:item:983:title","EU poll 2013","ES aptauja 2013. gadā","lv"
"menu:item:656:title","EU polls on safety & health","ES aptaujas par drošību un veselību","lv"
"menu:item:1023:title","EU presidency","ES prezidentūra","lv"
"menu:item:993:title","EU risk observatory","ES Riska observatorija","lv"
"menu:item:651:title","EU standards","ES standarti","lv"
"menu:item:1024:title","EU year","ES gads","lv"
"menu:item:979:title","EU-OSHA awards","EU-OSHA balvas","lv"
"menu:item:628:title","Emerging risks","Jaunie riski","lv"
"menu:item:969:title","Emerging risks","Jaunie riski","lv"
"menu:item:669:title","Enterprise survey (ESENER)","Uzņēmumu apsekojums (ESENER)","lv"
"menu:item:995:title","Evaluation","Novērtējums","lv"
"menu:item:1513:title","Events","Pasākumi","lv"
"menu:item:1708:title","Facebook","Facebook","lv"
"menu:item:981:title","Film award","Filmu balvas","lv"
"menu:item:1020:title","Film criteria","Filmu kritēriji","lv"
"menu:item:3074:title","Finance & budget information","Finanšu un budžeta informācija","lv"
"menu:item:1000:title","Finance and budget","Finanses un budžets","lv"
"menu:item:3071:title","Focal Points index page (menu position rule)","Kontaktpunktu indeksa lapas (izvēlnes atra&scaron;anās vietas likums)","lv"
"menu:item:3077:title","Focal points details","Kontaktpunktu informācija","lv"
"menu:item:1002:title","Founding regulation","Dibināšanas regula","lv"
"menu:item:1006:title","Fraud and conflict of interest prevention","Krāpšanas apkarošana un interešu konflikta novēršana","lv"
"menu:item:665:title","Future campaigns","Nākamās kampaņas","lv"
"menu:item:997:title","Good administrative behaviour","Labas pārvaldības prakse","lv"
"menu:item:644:title","Good practice awards","Labas prakses balvas","lv"
"menu:item:645:title","Governance","Pārvaldība","lv"
"menu:item:968:title","Green jobs","Zaļie darbi","lv"
"menu:item:638:title","Healthy workplaces campaigns","Drošu un veselībai nekaitīgu darbavietu kampaņas","lv"
"menu:item:967:title","Home","Sākums","lv"
"menu:item:2858:title","How to reach us","Kā mūs atrast","lv"
"menu:item:992:title","Infographics","Infografiki","lv"
"menu:item:646:title","Leadership & worker participation","Priekšzīme un darbinieku iesaistīšanās","lv"
"menu:item:1713:title","Legal notice","Juridisks paziņojums","lv"
"menu:item:624:title","Legislation","Tiesību akti","lv"
"menu:item:975:title","Legislation","Tiesību akti","lv"
"menu:item:1709:title","LinkedIn","LinkedIn","lv"
"menu:item:1700:title","Links","Saites","lv"
"menu:item:643:title","Mainstreaming OSH into education","Darba aizsardzības iekļaušana izglītībā","lv"
"menu:item:642:title","Micro and small enterprises & OSH","Mikro un mazie uzņēmumi un darba aizsardzība","lv"
"menu:item:972:title","Mission & Vision","Misija un vīzija","lv"
"menu:item:639:title","Musculoskeletal disorders","Balsta un kustību aparāta slimības","lv"
"menu:item:640:title","Nanomaterials","Nanomateriāli","lv"
"menu:item:990:title","Napo","Napo","lv"
"menu:item:974:title","National focal points","Valstu kontaktpunkti","lv"
"menu:item:647:title","National legislation","Valsts tiesību akti","lv"
"menu:item:655:title","OSHwiki","OSHwiki","lv"
"menu:item:1019:title","Participation criteria","Dalības kritēriji","lv"
"menu:item:1704:title","Press","Prese","lv"
"menu:item:1698:title","Press kit","Preses materiālu komplekts","lv"
"menu:item:673:title","Press room","Preses telpa","lv"
"menu:item:671:title","Previous campaigns","Iepriekšējās kampaņas","lv"
"menu:item:1706:title","Privacy notice","Privātuma politika","lv"
"menu:item:1716:title","Privacy notice","Privātuma politika","lv"
"menu:item:1716:description","Privacy policy for logged in users","Privātuma politika lietotājiem, kuri ir pieteikušies","lv"
"menu:item:1706:description","Privacy policy for non logged in users","Privātuma politika lietotājiem, kuri nav pieteikušies","lv"
"menu:item:670:title","Procurement","Iepirkums","lv"
"menu:item:982:title","Project on OSH of older workers","Projekts par gados vecāku darbinieku darba aizsardzību","lv"
"menu:item:652:title","Publications","Publikācijas","lv"
"menu:item:964:title","REACH","REACH","lv"
"menu:item:1703:title","RSS","RSS","lv"
"menu:item:1005:title","Request of internal documents","Iekšējās lietošanas dokumentu pieprasījums","lv"
"menu:item:648:title","Risk assessment tool (OIRA)","Riska novērtēšanas rīks (OIRA)","lv"
"menu:item:1696:title","Seminar reports","Semināru ziņojumi","lv"
"menu:item:1026:title","Senior staff","Vecākais personāls","lv"
"menu:item:1701:title","Social","Sociālie jautājumi","lv"
"menu:item:970:title","Strategy and programmes","Stratēģija un programmas","lv"
"menu:item:653:title","Stress & psychosocial risks","Stress un psihosociālie riski","lv"
"menu:item:626:title","Surveys & Statistics","Aptaujas un statistika","lv"
"menu:item:631:title","Surveys & Statistics","Aptaujas un statistika","lv"
"menu:item:625:title","Themes","Temati","lv"
"menu:item:632:title","Themes","Temati","lv"
"menu:item:627:title","Tools & Publications","Rīki un publikācijas","lv"
"menu:item:634:title","Tools & Publications","Rīki un publikācijas","lv"
"menu:item:1707:title","Twitter","Twitter","lv"
"menu:item:666:title","What we do","Ko mēs darām","lv"
"menu:item:663:title","Women & OSH","Sievietes un darba aizsardzība","lv"
"menu:item:662:title","Work–related diseases","Ar darbu saistītas slimības","lv"
"menu:item:1710:title","YouTube","YouTube","lv"
"menu:item:659:title","Young people & OSH","Jaunieši un darba aizsardzība","lv"
"menu:item:986:title","e–guide VeSafe","E-ceļvedis VeSafe","lv"
"menu:item:987:title","e–guide manage stress","E-ceļvedis par stresa novēršanu","lv"
"menu:item:988:title","e–guide on ageing","E-ceļvedis par novecošanos","lv"
